customer_id,first_name,last_name,gender,age,email,phone,register_datetime,loyalty_points,loyalty_tier,loyalty_value,marketing_opt_in,city,country
CUST100001,Nurul,Lau,Female,43,nurul.lau1389@hotmail.com,96317999,2020-06-12 10:00,9799,Platinum,9799,TRUE,Singapore,Singapore
CUST100002,Ryan,Singh,Male,41,ryan.singh3510@hotmail.com,91912755,2022-06-19 20:00,3003,Gold,3003,FALSE,Singapore,Singapore
CUST100003,Kai,Ho,Male,67,kai.ho6173@yahoo.com,81669703,2020-06-20 20:00,9835,Platinum,9835,TRUE,Singapore,Singapore
CUST100004,Aria,Sharma,Male,65,aria.sharma8750@yahoo.com,99791654,2024-01-13 21:00,3883,Gold,3883,TRUE,Singapore,Singapore
CUST100005,Felicia,Singh,Female,28,felicia.singh2268@hotmail.com,86851882,2021-03-28 21:00,9956,Platinum,9956,TRUE,Singapore,Singapore
CUST100006,Aria,Singh,Male,45,aria.singh7392@hotmail.com,84333023,2020-01-11 10:00,3687,Gold,3687,FALSE,Singapore,Singapore
CUST100007,Wei Hao,Wong,Male,36,wei-hao.wong2274@outlook.com,96902196,2024-04-19 15:00,11454,Platinum,11454,TRUE,Singapore,Singapore
CUST100008,Amir,Chan,Male,21,amir.chan7490@gmail.com,88456572,2021-09-03 09:00,6928,Platinum,6928,TRUE,Singapore,Singapore
CUST100009,Lucas,Ong,Male,60,lucas.ong5909@gmail.com,83469207,2019-12-17 14:00,8626,Platinum,8626,TRUE,Singapore,Singapore
CUST100010,Wei Ling,Ong,Female,39,wei-ling.ong5773@hotmail.com,88694117,2020-06-30 16:00,776,Silver,776,TRUE,Singapore,Singapore
CUST100011,Olivia,Lim,Female,20,olivia.lim8445@outlook.com,92713783,2022-07-16 10:00,5130,Gold,5130,FALSE,Singapore,Singapore
CUST100012,Ryan,Foo,Female,42,ryan.foo8130@outlook.com,99587068,2022-10-20 17:00,3110,Gold,3110,TRUE,Singapore,Singapore
CUST100013,Wei Ling,Lee,Male,36,wei-ling.lee9874@outlook.com,86308392,2022-06-09 21:00,7355,Platinum,7355,FALSE,Singapore,Singapore
CUST100014,Zara,Ho,Female,41,zara.ho2622@gmail.com,88641263,2024-10-02 18:00,11181,Platinum,11181,TRUE,Singapore,Singapore
CUST100015,Aarav,Ho,Male,41,aarav.ho1260@yahoo.com,93621743,2023-03-04 17:00,7323,Platinum,7323,TRUE,Singapore,Singapore
CUST100016,Sofia,Phua,Male,57,sofia.phua8048@yahoo.com,81017989,2022-03-15 14:00,11420,Platinum,11420,TRUE,Singapore,Singapore
CUST100017,Zara,Liew,Female,37,zara.liew2853@hotmail.com,81217053,2020-10-07 21:00,11712,Platinum,11712,FALSE,Singapore,Singapore
CUST100018,Jun Jie,Sharma,Female,22,jun-jie.sharma7843@outlook.com,98096463,2022-06-20 21:00,6573,Platinum,6573,TRUE,Singapore,Singapore
CUST100019,Noah,Wong,Male,21,noah.wong2508@hotmail.com,81929520,2020-05-23 12:00,8538,Platinum,8538,TRUE,Singapore,Singapore
